Defect_ID,Defect_Type,Machine_ID,Production_Line,Defect_Date,Root_Cause,Resolution_Comment,Resolved_Date
D0057,Misalignment,MCH-299,Line-3,2025-05-03,Seal failure,Replaced cutting tool and added tool inspection schedule,2025-05-06
D0058,Burr Formation,MCH-367,Line-1,2025-01-10,High machine vibration,Replaced cutting tool and added tool inspection schedule,2025-01-13
D0059,Surface Crack,MCH-107,Line-3,2025-01-07,Coolant shortage,Calibrated equipment and updated calibration logs,2025-01-10
D0060,Burr Formation,MCH-136,Line-4,2025-07-17,High machine vibration,Replaced seal and added pressure monitoring,2025-07-22
D0061,Surface Crack,MCH-166,Line-5,2025-04-22,Gas flow inconsistency,Polished die and added regular inspection routine,2025-04-24
D0062,Paint Peeling,MCH-339,Line-3,2025-06-20,Worn-out die,Polished die and added regular inspection routine,2025-06-21
D0063,Misalignment,MCH-467,Line-5,2025-02-17,Gas flow inconsistency,Replaced gas regulator and trained operator,2025-02-22
D0064,Burr Formation,MCH-165,Line-3,2025-06-11,Improper calibration,Replaced seal and added pressure monitoring,2025-06-14
D0065,Surface Crack,MCH-289,Line-4,2025-03-02,Tool wear,Adjusted machine alignment and replaced worn-out bearings,2025-03-03
D0066,Burr Formation,MCH-459,Line-4,2025-01-12,Tool wear,Replaced seal and added pressure monitoring,2025-01-14
D0067,Surface Crack,MCH-193,Line-4,2025-08-16,Coolant shortage,Replaced cutting tool and added tool inspection schedule,2025-08-20
D0068,Loose Assembly,MCH-354,Line-2,2025-09-08,Coolant shortage,Secured wiring and scheduled preventive inspection,2025-09-10
D0069,Paint Peeling,MCH-282,Line-1,2025-03-28,Seal failure,Secured wiring and scheduled preventive inspection,2025-03-30
D0070,Paint Peeling,MCH-157,Line-5,2025-01-26,Improper calibration,Replaced gas regulator and trained operator,2025-01-31
D0071,Burr Formation,MCH-155,Line-4,2025-06-13,Worn-out die,Replaced cutting tool and added tool inspection schedule,2025-06-15
D0072,Paint Peeling,MCH-397,Line-1,2025-04-27,Improper curing temperature,Adjusted machine alignment and replaced worn-out bearings,2025-04-28
D0073,Burr Formation,MCH-360,Line-3,2025-06-10,Operator error,Calibrated equipment and updated calibration logs,2025-06-12
D0074,Loose Assembly,MCH-376,Line-2,2025-04-04,Improper calibration,Adjusted machine alignment and replaced worn-out bearings,2025-04-09
D0075,Loose Assembly,MCH-344,Line-3,2025-07-20,High machine vibration,Calibrated oven temperature and added monitoring alert,2025-07-21
D0076,Dimension Out of Tolerance,MCH-129,Line-2,2025-06-02,Gas flow inconsistency,Replaced seal and added pressure monitoring,2025-06-05
D0077,Leakage,MCH-349,Line-5,2025-04-17,Worn-out die,Calibrated equipment and updated calibration logs,2025-04-19
D0078,Paint Peeling,MCH-104,Line-3,2025-01-02,Seal failure,Calibrated oven temperature and added monitoring alert,2025-01-03
D0079,Overheating,MCH-295,Line-2,2025-03-22,Coolant shortage,Replaced cutting tool and added tool inspection schedule,2025-03-27
D0080,Surface Crack,MCH-132,Line-4,2025-02-02,Worn-out die,Calibrated equipment and updated calibration logs,2025-02-04
D0081,Misalignment,MCH-329,Line-1,2025-02-25,Improper calibration,Introduced torque check checklist and operator training,2025-02-26
D0082,Welding Porosity,MCH-207,Line-4,2025-07-10,Seal failure,Replaced seal and added pressure monitoring,2025-07-15
D0083,Dimension Out of Tolerance,MCH-341,Line-3,2025-05-12,Loose wiring,Refilled coolant tank and fixed coolant flow sensor,2025-05-15
D0084,Welding Porosity,MCH-290,Line-4,2025-06-23,Gas flow inconsistency,Calibrated oven temperature and added monitoring alert,2025-06-28
D0085,Burr Formation,MCH-480,Line-1,2025-02-09,Seal failure,Calibrated equipment and updated calibration logs,2025-02-12
D0086,Leakage,MCH-281,Line-1,2025-02-11,Seal failure,Replaced gas regulator and trained operator,2025-02-16
D0087,Burr Formation,MCH-249,Line-5,2025-07-19,High machine vibration,Calibrated equipment and updated calibration logs,2025-07-23
D0088,Dimension Out of Tolerance,MCH-253,Line-2,2025-01-22,Improper calibration,Calibrated equipment and updated calibration logs,2025-01-26
D0089,Electrical Failure,MCH-329,Line-1,2025-09-02,Coolant shortage,Calibrated equipment and updated calibration logs,2025-09-03
D0090,Dimension Out of Tolerance,MCH-101,Line-3,2025-01-13,Gas flow inconsistency,Calibrated oven temperature and added monitoring alert,2025-01-14
D0091,Burr Formation,MCH-112,Line-2,2025-05-13,Gas flow inconsistency,Calibrated equipment and updated calibration logs,2025-05-16
D0092,Dimension Out of Tolerance,MCH-346,Line-3,2025-04-29,Coolant shortage,Replaced seal and added pressure monitoring,2025-05-04
D0093,Dimension Out of Tolerance,MCH-314,Line-1,2025-05-30,Operator error,Replaced gas regulator and trained operator,2025-06-03
D0094,Overheating,MCH-303,Line-2,2025-03-30,Gas flow inconsistency,Refilled coolant tank and fixed coolant flow sensor,2025-03-31
D0095,Dimension Out of Tolerance,MCH-171,Line-2,2025-03-05,Seal failure,Introduced torque check checklist and operator training,2025-03-10
D0096,Electrical Failure,MCH-127,Line-3,2025-03-02,Operator error,Calibrated equipment and updated calibration logs,2025-03-06
D0097,Dimension Out of Tolerance,MCH-187,Line-1,2025-07-27,Loose wiring,Replaced cutting tool and added tool inspection schedule,2025-08-01
D0098,Electrical Failure,MCH-400,Line-2,2025-01-26,Gas flow inconsistency,Replaced seal and added pressure monitoring,2025-01-29
D0099,Surface Crack,MCH-261,Line-3,2025-08-08,Coolant shortage,Refilled coolant tank and fixed coolant flow sensor,2025-08-09
D0100,Surface Crack,MCH-201,Line-5,2025-07-21,Improper calibration,Calibrated oven temperature and added monitoring alert,2025-07-24
D0101,Welding Porosity,MCH-219,Line-3,2025-01-08,Tool wear,Introduced torque check checklist and operator training,2025-01-12
D0102,Paint Peeling,MCH-321,Line-5,2025-02-26,Coolant shortage,Secured wiring and scheduled preventive inspection,2025-02-28
D0103,Surface Crack,MCH-281,Line-5,2025-05-22,Coolant shortage,Calibrated equipment and updated calibration logs,2025-05-26
D0104,Electrical Failure,MCH-234,Line-4,2025-01-28,Loose wiring,Introduced torque check checklist and operator training,2025-01-30
D0105,Burr Formation,MCH-326,Line-1,2025-06-12,Tool wear,Polished die and added regular inspection routine,2025-06-13
D0106,Overheating,MCH-212,Line-3,2025-06-21,Loose wiring,Calibrated oven temperature and added monitoring alert,2025-06-23
D0107,Surface Crack,MCH-381,Line-5,2025-04-20,Tool wear,Adjusted machine alignment and replaced worn-out bearings,2025-04-25
D0108,Burr Formation,MCH-100,Line-4,2025-09-14,Improper curing temperature,Introduced torque check checklist and operator training,2025-09-17
D0109,Surface Crack,MCH-396,Line-3,2025-03-28,Operator error,Refilled coolant tank and fixed coolant flow sensor,2025-04-01
D0110,Dimension Out of Tolerance,MCH-493,Line-4,2025-04-29,High machine vibration,Secured wiring and scheduled preventive inspection,2025-04-30
D0111,Loose Assembly,MCH-230,Line-1,2025-01-19,Operator error,Calibrated oven temperature and added monitoring alert,2025-01-22
D0112,Paint Peeling,MCH-409,Line-4,2025-04-06,Operator error,Introduced torque check checklist and operator training,2025-04-07
D0113,Leakage,MCH-407,Line-2,2025-06-10,Loose wiring,Refilled coolant tank and fixed coolant flow sensor,2025-06-15
D0114,Surface Crack,MCH-393,Line-4,2025-06-22,Tool wear,Replaced gas regulator and trained operator,2025-06-27
D0115,Overheating,MCH-116,Line-2,2025-05-15,Improper curing temperature,Introduced torque check checklist and operator training,2025-05-17
D0116,Electrical Failure,MCH-317,Line-5,2025-05-27,Improper calibration,Calibrated oven temperature and added monitoring alert,2025-05-30
D0117,Electrical Failure,MCH-437,Line-2,2025-08-30,Loose wiring,Calibrated oven temperature and added monitoring alert,2025-09-01
D0118,Dimension Out of Tolerance,MCH-172,Line-1,2025-06-10,Worn-out die,Adjusted machine alignment and replaced worn-out bearings,2025-06-12
D0119,Burr Formation,MCH-445,Line-1,2025-04-30,Coolant shortage,Polished die and added regular inspection routine,2025-05-03
D0120,Dimension Out of Tolerance,MCH-350,Line-3,2025-05-19,Operator error,Polished die and added regular inspection routine,2025-05-21
D0121,Dimension Out of Tolerance,MCH-213,Line-1,2025-04-30,Loose wiring,Replaced cutting tool and added tool inspection schedule,2025-05-04
D0122,Overheating,MCH-474,Line-4,2025-09-17,Seal failure,Refilled coolant tank and fixed coolant flow sensor,2025-09-20
D0123,Surface Crack,MCH-301,Line-4,2025-06-20,Tool wear,Secured wiring and scheduled preventive inspection,2025-06-21
D0124,Electrical Failure,MCH-178,Line-3,2025-08-29,Worn-out die,Secured wiring and scheduled preventive inspection,2025-09-02
D0125,Loose Assembly,MCH-429,Line-3,2025-03-09,Loose wiring,Introduced torque check checklist and operator training,2025-03-12
D0126,Surface Crack,MCH-431,Line-2,2025-04-18,Tool wear,Calibrated oven temperature and added monitoring alert,2025-04-19
D0127,Surface Crack,MCH-451,Line-4,2025-05-08,Coolant shortage,Calibrated oven temperature and added monitoring alert,2025-05-13
D0128,Leakage,MCH-262,Line-2,2025-01-01,Seal failure,Polished die and added regular inspection routine,2025-01-04
D0129,Welding Porosity,MCH-199,Line-4,2025-08-22,Improper curing temperature,Refilled coolant tank and fixed coolant flow sensor,2025-08-25
D0130,Electrical Failure,MCH-160,Line-4,2025-01-11,Operator error,Refilled coolant tank and fixed coolant flow sensor,2025-01-12
D0131,Electrical Failure,MCH-289,Line-1,2025-06-15,Gas flow inconsistency,Polished die and added regular inspection routine,2025-06-18
D0132,Welding Porosity,MCH-305,Line-4,2025-09-04,Coolant shortage,Replaced seal and added pressure monitoring,2025-09-09
D0133,Electrical Failure,MCH-337,Line-4,2025-06-15,Loose wiring,Replaced cutting tool and added tool inspection schedule,2025-06-19
D0134,Burr Formation,MCH-293,Line-5,2025-02-01,High machine vibration,Polished die and added regular inspection routine,2025-02-02
D0135,Electrical Failure,MCH-477,Line-5,2025-02-14,Operator error,Secured wiring and scheduled preventive inspection,2025-02-16
D0136,Misalignment,MCH-500,Line-5,2025-09-07,Improper curing temperature,Replaced gas regulator and trained operator,2025-09-09
D0137,Paint Peeling,MCH-244,Line-3,2025-07-31,Operator error,Calibrated oven temperature and added monitoring alert,2025-08-03
D0138,Burr Formation,MCH-310,Line-4,2025-01-17,Tool wear,Calibrated equipment and updated calibration logs,2025-01-18
D0139,Overheating,MCH-449,Line-5,2025-05-14,Worn-out die,Secured wiring and scheduled preventive inspection,2025-05-17
D0140,Surface Crack,MCH-277,Line-4,2025-05-08,Loose wiring,Secured wiring and scheduled preventive inspection,2025-05-11
D0141,Electrical Failure,MCH-202,Line-5,2025-06-19,Gas flow inconsistency,Polished die and added regular inspection routine,2025-06-22
D0142,Misalignment,MCH-403,Line-5,2025-01-13,Coolant shortage,Secured wiring and scheduled preventive inspection,2025-01-14
D0143,Dimension Out of Tolerance,MCH-409,Line-1,2025-01-10,Improper calibration,Calibrated oven temperature and added monitoring alert,2025-01-15
D0144,Paint Peeling,MCH-460,Line-4,2025-07-27,Gas flow inconsistency,Replaced cutting tool and added tool inspection schedule,2025-07-29
D0145,Leakage,MCH-351,Line-2,2025-06-12,Gas flow inconsistency,Polished die and added regular inspection routine,2025-06-13
D0146,Overheating,MCH-130,Line-1,2025-03-24,Operator error,Introduced torque check checklist and operator training,2025-03-26
D0147,Electrical Failure,MCH-381,Line-1,2025-06-25,Tool wear,Refilled coolant tank and fixed coolant flow sensor,2025-06-29
D0148,Loose Assembly,MCH-452,Line-4,2025-03-10,Improper curing temperature,Adjusted machine alignment and replaced worn-out bearings,2025-03-12
D0149,Electrical Failure,MCH-373,Line-4,2025-05-04,High machine vibration,Calibrated oven temperature and added monitoring alert,2025-05-06
D0150,Loose Assembly,MCH-321,Line-3,2025-01-09,Improper curing temperature,Polished die and added regular inspection routine,2025-01-13
D0151,Misalignment,MCH-406,Line-5,2025-06-14,Improper curing temperature,Refilled coolant tank and fixed coolant flow sensor,2025-06-15
D0152,Burr Formation,MCH-444,Line-5,2025-08-06,Tool wear,Secured wiring and scheduled preventive inspection,2025-08-09
D0153,Surface Crack,MCH-430,Line-2,2025-03-03,High machine vibration,Adjusted machine alignment and replaced worn-out bearings,2025-03-07
D0154,Welding Porosity,MCH-422,Line-3,2025-04-18,Improper curing temperature,Introduced torque check checklist and operator training,2025-04-19
D0155,Welding Porosity,MCH-438,Line-5,2025-07-18,Worn-out die,Calibrated oven temperature and added monitoring alert,2025-07-21
D0156,Burr Formation,MCH-117,Line-1,2025-04-26,Coolant shortage,Calibrated oven temperature and added monitoring alert,2025-05-01
D0157,Overheating,MCH-475,Line-1,2025-03-22,Seal failure,Calibrated oven temperature and added monitoring alert,2025-03-27
D0158,Leakage,MCH-370,Line-3,2025-04-08,Improper calibration,Refilled coolant tank and fixed coolant flow sensor,2025-04-13
D0159,Burr Formation,MCH-100,Line-3,2025-09-04,Tool wear,Adjusted machine alignment and replaced worn-out bearings,2025-09-07
D0160,Misalignment,MCH-445,Line-1,2025-09-01,Tool wear,Calibrated equipment and updated calibration logs,2025-09-02
D0161,Surface Crack,MCH-263,Line-2,2025-03-07,Seal failure,Calibrated equipment and updated calibration logs,2025-03-12
D0162,Surface Crack,MCH-306,Line-5,2025-09-06,Worn-out die,Replaced cutting tool and added tool inspection schedule,2025-09-09
D0163,Overheating,MCH-280,Line-4,2025-04-24,Worn-out die,Secured wiring and scheduled preventive inspection,2025-04-28
D0164,Paint Peeling,MCH-149,Line-5,2025-06-25,Improper curing temperature,Calibrated oven temperature and added monitoring alert,2025-06-30
D0165,Misalignment,MCH-367,Line-5,2025-07-27,Loose wiring,Refilled coolant tank and fixed coolant flow sensor,2025-08-01
D0166,Leakage,MCH-174,Line-5,2025-01-11,Improper curing temperature,Replaced seal and added pressure monitoring,2025-01-16
D0167,Loose Assembly,MCH-281,Line-2,2025-02-06,Coolant shortage,Refilled coolant tank and fixed coolant flow sensor,2025-02-11
D0168,Paint Peeling,MCH-273,Line-5,2025-03-27,Tool wear,Calibrated oven temperature and added monitoring alert,2025-03-30
D0169,Paint Peeling,MCH-369,Line-2,2025-01-23,Loose wiring,Replaced cutting tool and added tool inspection schedule,2025-01-28
D0170,Overheating,MCH-495,Line-5,2025-04-20,Seal failure,Replaced seal and added pressure monitoring,2025-04-22
D0171,Welding Porosity,MCH-378,Line-5,2025-02-08,Loose wiring,Replaced seal and added pressure monitoring,2025-02-10
D0172,Welding Porosity,MCH-280,Line-2,2025-01-20,Seal failure,Adjusted machine alignment and replaced worn-out bearings,2025-01-21
D0173,Paint Peeling,MCH-239,Line-3,2025-04-14,Worn-out die,Adjusted machine alignment and replaced worn-out bearings,2025-04-15
D0174,Burr Formation,MCH-438,Line-1,2025-08-23,High machine vibration,Introduced torque check checklist and operator training,2025-08-25
D0175,Loose Assembly,MCH-482,Line-5,2025-04-29,Operator error,Replaced gas regulator and trained operator,2025-04-30
D0176,Burr Formation,MCH-292,Line-5,2025-03-26,Seal failure,Replaced gas regulator and trained operator,2025-03-27
D0177,Paint Peeling,MCH-499,Line-4,2025-06-23,Loose wiring,Replaced gas regulator and trained operator,2025-06-24
D0178,Loose Assembly,MCH-173,Line-1,2025-08-16,Gas flow inconsistency,Replaced cutting tool and added tool inspection schedule,2025-08-17
D0179,Paint Peeling,MCH-304,Line-3,2025-09-08,High machine vibration,Adjusted machine alignment and replaced worn-out bearings,2025-09-10
D0180,Surface Crack,MCH-389,Line-2,2025-03-28,Operator error,Replaced gas regulator and trained operator,2025-03-29
D0181,Loose Assembly,MCH-126,Line-5,2025-04-29,Coolant shortage,Refilled coolant tank and fixed coolant flow sensor,2025-05-03
D0182,Electrical Failure,MCH-125,Line-1,2025-08-11,Coolant shortage,Polished die and added regular inspection routine,2025-08-16
D0183,Welding Porosity,MCH-248,Line-1,2025-09-05,Improper curing temperature,Introduced torque check checklist and operator training,2025-09-10
D0184,Loose Assembly,MCH-150,Line-3,2025-01-03,Loose wiring,Polished die and added regular inspection routine,2025-01-06
D0185,Burr Formation,MCH-407,Line-5,2025-06-24,Coolant shortage,Adjusted machine alignment and replaced worn-out bearings,2025-06-27
D0186,Misalignment,MCH-395,Line-4,2025-08-26,Worn-out die,Calibrated oven temperature and added monitoring alert,2025-08-29
D0187,Leakage,MCH-194,Line-3,2025-08-04,Operator error,Refilled coolant tank and fixed coolant flow sensor,2025-08-08
D0188,Welding Porosity,MCH-131,Line-4,2025-03-31,High machine vibration,Refilled coolant tank and fixed coolant flow sensor,2025-04-02
D0189,Dimension Out of Tolerance,MCH-229,Line-5,2025-03-23,High machine vibration,Secured wiring and scheduled preventive inspection,2025-03-27
D0190,Loose Assembly,MCH-443,Line-5,2025-07-23,Loose wiring,Secured wiring and scheduled preventive inspection,2025-07-28
D0191,Burr Formation,MCH-500,Line-1,2025-03-29,Gas flow inconsistency,Secured wiring and scheduled preventive inspection,2025-04-01
D0192,Loose Assembly,MCH-361,Line-4,2025-02-22,Coolant shortage,Calibrated equipment and updated calibration logs,2025-02-23
D0193,Electrical Failure,MCH-223,Line-5,2025-07-23,Improper calibration,Introduced torque check checklist and operator training,2025-07-28
D0194,Welding Porosity,MCH-137,Line-3,2025-07-23,Improper calibration,Calibrated equipment and updated calibration logs,2025-07-27
D0195,Electrical Failure,MCH-248,Line-5,2025-05-21,Coolant shortage,Adjusted machine alignment and replaced worn-out bearings,2025-05-25
D0196,Surface Crack,MCH-409,Line-5,2025-08-30,Tool wear,Calibrated equipment and updated calibration logs,2025-08-31
D0197,Loose Assembly,MCH-392,Line-4,2025-07-02,Worn-out die,Replaced gas regulator and trained operator,2025-07-04
D0198,Overheating,MCH-349,Line-4,2025-01-14,Operator error,Introduced torque check checklist and operator training,2025-01-17
D0199,Misalignment,MCH-281,Line-5,2025-08-31,Operator error,Secured wiring and scheduled preventive inspection,2025-09-04
D0200,Overheating,MCH-460,Line-3,2025-06-18,Operator error,Secured wiring and scheduled preventive inspection,2025-06-19
D0201,Paint Peeling,MCH-137,Line-5,2025-07-28,Improper curing temperature,Calibrated equipment and updated calibration logs,2025-07-29
D0202,Burr Formation,MCH-178,Line-2,2025-09-18,Tool wear,Polished die and added regular inspection routine,2025-09-20
D0203,Welding Porosity,MCH-288,Line-4,2025-05-21,High machine vibration,Adjusted machine alignment and replaced worn-out bearings,2025-05-25
D0204,Dimension Out of Tolerance,MCH-330,Line-5,2025-04-11,Gas flow inconsistency,Calibrated oven temperature and added monitoring alert,2025-04-14
D0205,Dimension Out of Tolerance,MCH-289,Line-3,2025-08-05,Loose wiring,Calibrated equipment and updated calibration logs,2025-08-06
D0206,Surface Crack,MCH-121,Line-4,2025-02-07,Loose wiring,Refilled coolant tank and fixed coolant flow sensor,2025-02-09
D0207,Misalignment,MCH-172,Line-1,2025-06-14,Operator error,Introduced torque check checklist and operator training,2025-06-18
D0208,Loose Assembly,MCH-373,Line-1,2025-05-17,Coolant shortage,Secured wiring and scheduled preventive inspection,2025-05-21
D0209,Overheating,MCH-111,Line-1,2025-02-28,Gas flow inconsistency,Calibrated oven temperature and added monitoring alert,2025-03-03
D0210,Loose Assembly,MCH-238,Line-3,2025-05-24,High machine vibration,Polished die and added regular inspection routine,2025-05-26
D0211,Overheating,MCH-137,Line-2,2025-01-19,High machine vibration,Replaced gas regulator and trained operator,2025-01-23
D0212,Leakage,MCH-285,Line-2,2025-01-10,Worn-out die,Calibrated oven temperature and added monitoring alert,2025-01-14
D0213,Burr Formation,MCH-259,Line-2,2025-08-29,Loose wiring,Calibrated equipment and updated calibration logs,2025-08-31
D0214,Electrical Failure,MCH-164,Line-5,2025-06-25,High machine vibration,Secured wiring and scheduled preventive inspection,2025-06-27
D0215,Burr Formation,MCH-466,Line-1,2025-06-19,Loose wiring,Replaced cutting tool and added tool inspection schedule,2025-06-22
D0216,Electrical Failure,MCH-484,Line-3,2025-09-06,Improper curing temperature,Replaced gas regulator and trained operator,2025-09-07
D0217,Dimension Out of Tolerance,MCH-220,Line-3,2025-04-26,Loose wiring,Adjusted machine alignment and replaced worn-out bearings,2025-04-28
D0218,Burr Formation,MCH-466,Line-3,2025-06-10,Worn-out die,Polished die and added regular inspection routine,2025-06-15
D0219,Loose Assembly,MCH-191,Line-2,2025-03-02,Worn-out die,Secured wiring and scheduled preventive inspection,2025-03-06
D0220,Dimension Out of Tolerance,MCH-150,Line-1,2025-01-22,Worn-out die,Calibrated oven temperature and added monitoring alert,2025-01-26
D0221,Burr Formation,MCH-244,Line-5,2025-03-31,Operator error,Refilled coolant tank and fixed coolant flow sensor,2025-04-04
D0222,Welding Porosity,MCH-396,Line-3,2025-04-07,Tool wear,Polished die and added regular inspection routine,2025-04-10
D0223,Loose Assembly,MCH-148,Line-4,2025-08-26,Improper calibration,Calibrated equipment and updated calibration logs,2025-08-30
